ODA/PALLFNF_INDEX,All Commodity Price Index
ODA/PAK_LUR,"Pakistan Unemployment Rate, % of Total Labor Force"
ODA/PAK_GGR,"Pakistan General Government Revenue, USD Billions"
ODA/PAK_PCPI,"Pakistan Inflation Index, Average Consumer Prices"
ODA/PAK_GGR_NGDP,"Pakistan General Government Revenue, % of GDP"
ODA/PAK_PCPIE,"Pakistan Inflation Index, End of Period Consumer Prices"
ODA/PAK_GGXCNL,"Pakistan General Government Net Lending/Borrowing, USD Billions"
ODA/PAK_TM_RPCH,"Pakistan Imports of Goods and services, % change"
ODA/PAK_GGXONLB_NGDP,"Pakistan General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PAK_TXG_RPCH,"Pakistan Exports of Goods, % change"
ODA/PAK_LP,"Pakistan Population, Millions"
ODA/PAK_GGXWDG_NGDP,"Pakistan General Government Gross Debt, % of GDP"
ODA/PAK_GGX,"Pakistan General Government Total Expenditure, USD Billions"
ODA/PAK_BCA,"Pakistan Current Account Balance, USD Billions"
ODA/PAK_GGX_NGDP,"Pakistan General Government Total Expenditure, % of GDP"
ODA/PAK_GGXCNL_NGDP,"Pakistan General Government Net Lending/Borrowing, % of GDP"
ODA/PLW_NGDP_R,"Palau GDP at Constant Prices, LCU Billions"
ODA/PAK_GGXONLB,"Pakistan General Government Primary Net Lending/Borrowing, USD Billions"
ODA/PLW_NGDP_RPCH,"Palau GDP at Constant Prices, % change"
ODA/PAK_GGXWDN,"Pakistan General Government Net Debt, USD Billions"
ODA/PLW_NGDPD,"Palau GDP at Current Prices, USD Billions"
ODA/PAK_GGXWDN_NGDP,"Pakistan General Government Net Debt, % of GDP"
ODA/PAK_GGXWDG,"Pakistan General Government Gross Debt, USD Billions"
ODA/PLW_NGDPRPC,"Palau GDP per Capita at Constant Prices, LCU"
ODA/PAK_NGDP_FY,"Pakistan GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PLW_NGDPDPC,"Palau GDP per Capita at Current Prices, USD"
ODA/PLW_PPPPC,"Palau Per Capita GDP based on PPP Valuation, USD"
ODA/PAK_BCA_NGDPD,"Pakistan Current Account Balance, % of GDP"
ODA/PLW_PPPSH,"Palau Share of World GDP based on PPP, %"
ODA/PLW_PCPI,"Palau Inflation Index, Average Consumer Prices"
ODA/PLW_NGDP,"Palau GDP at Current Prices, LCU Billions"
ODA/PLW_PCPIE,"Palau Inflation Index, End of Period Consumer Prices"
ODA/PLW_PCPIEPCH,"Palau Inflation % change, End of Period Consumer Prices"
ODA/PLW_NGDP_D,Palau GDP Deflator
ODA/PLW_TMG_RPCH,"Palau Imports of Goods, % change"
ODA/PLW_NGDPPC,"Palau GDP per Capita at Current Prices, LCU"
ODA/PLW_TXG_RPCH,"Palau Exports of Goods, % change"
ODA/PLW_PPPGDP,"Palau Country GDP based on PPP Valuation, USD Billions"
ODA/PLW_LP,"Palau Population, Millions"
ODA/PLW_PPPEX,"Palau Implied PPP Conversion Rate, LCU per USD"
ODA/PLW_PCPIPCH,"Palau Inflation % change, Average Consumer Prices"
ODA/PLW_GGX,"Palau General Government Total Expenditure, USD Billions"
ODA/PLW_TM_RPCH,"Palau Imports of Goods and services, % change"
ODA/PLW_GGXCNL,"Palau General Government Net Lending/Borrowing, USD Billions"
ODA/PLW_GGXCNL_NGDP,"Palau General Government Net Lending/Borrowing, % of GDP"
ODA/PLW_TX_RPCH,"Palau Exports of Goods and services, % change"
ODA/PLW_BCA,"Palau Current Account Balance, USD Billions"
ODA/PAN_NGDP_R,"Panama GDP at Constant Prices, LCU Billions"
ODA/PLW_GGR,"Palau General Government Revenue, USD Billions"
ODA/PAN_NGDP_RPCH,"Panama GDP at Constant Prices, % change"
ODA/PLW_GGR_NGDP,"Palau General Government Revenue, % of GDP"
ODA/PAN_NGDPD,"Panama GDP at Current Prices, USD Billions"
ODA/PLW_GGX_NGDP,"Palau General Government Total Expenditure, % of GDP"
ODA/PAN_NGDPRPC,"Panama GDP per Capita at Constant Prices, LCU"
ODA/PLW_NGDP_FY,"Palau GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PAN_NGDPDPC,"Panama GDP per Capita at Current Prices, USD"
ODA/PAN_PPPPC,"Panama Per Capita GDP based on PPP Valuation, USD"
ODA/PLW_BCA_NGDPD,"Palau Current Account Balance, % of GDP"
ODA/PAN_NGDP,"Panama GDP at Current Prices, LCU Billions"
ODA/PAN_PPPEX,"Panama Implied PPP Conversion Rate, LCU per USD"
ODA/PAN_NGDP_D,Panama GDP Deflator
ODA/PAN_NGSD_NGDP,"Panama Gross National Savings, % of GDP"
ODA/PAN_NGDPPC,"Panama GDP per Capita at Current Prices, LCU"
ODA/PAN_PPPGDP,"Panama Country GDP based on PPP Valuation, USD Billions"
ODA/PAN_PCPIE,"Panama Inflation Index, End of Period Consumer Prices"
ODA/PAN_PPPSH,"Panama Share of World GDP based on PPP, %"
ODA/PAN_TM_RPCH,"Panama Imports of Goods and services, % change"
ODA/PAN_TX_RPCH,"Panama Exports of Goods and services, % change"
ODA/PAN_TXG_RPCH,"Panama Exports of Goods, % change"
ODA/PAN_NID_NGDP,"Panama Total Investment, % of GDP"
ODA/PAN_LP,"Panama Population, Millions"
ODA/PAN_GGR,"Panama General Government Revenue, USD Billions"
ODA/PAN_PCPI,"Panama Inflation Index, Average Consumer Prices"
ODA/PAN_PCPIPCH,"Panama Inflation % change, Average Consumer Prices"
ODA/PAN_GGX_NGDP,"Panama General Government Total Expenditure, % of GDP"
ODA/PAN_PCPIEPCH,"Panama Inflation % change, End of Period Consumer Prices"
ODA/PAN_GGXCNL_NGDP,"Panama General Government Net Lending/Borrowing, % of GDP"
ODA/PAN_TMG_RPCH,"Panama Imports of Goods, % change"
ODA/PAN_GGSB_NPGDP,"Panama General Government Structural Balance, % of GDP"
ODA/PAN_LUR,"Panama Unemployment Rate, % of Total Labor Force"
ODA/PAN_GGXONLB_NGDP,"Panama General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PAN_GGXWDN_NGDP,"Panama General Government Net Debt, % of GDP"
ODA/PAN_GGR_NGDP,"Panama General Government Revenue, % of GDP"
ODA/PAN_GGX,"Panama General Government Total Expenditure, USD Billions"
ODA/PAN_GGXWDG_NGDP,"Panama General Government Gross Debt, % of GDP"
ODA/PAN_GGXCNL,"Panama General Government Net Lending/Borrowing, USD Billions"
ODA/PAN_BCA,"Panama Current Account Balance, USD Billions"
ODA/PAN_BCA_NGDPD,"Panama Current Account Balance, % of GDP"
ODA/PAN_GGSB,"Panama General Government Structural Balance, USD Billions"
ODA/PNG_NGDP_R,"Papua New Guinea GDP at Constant Prices, LCU Billions"
ODA/PAN_GGXONLB,"Panama General Government Primary Net Lending/Borrowing, USD Billions"
ODA/PNG_NGDP_RPCH,"Papua New Guinea GDP at Constant Prices, % change"
ODA/PAN_GGXWDN,"Panama General Government Net Debt, USD Billions"
ODA/PNG_NGDP,"Papua New Guinea GDP at Current Prices, LCU Billions"
ODA/PAN_GGXWDG,"Panama General Government Gross Debt, USD Billions"
ODA/PNG_NGDP_D,Papua New Guinea GDP Deflator
ODA/PAN_NGDP_FY,"Panama GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PNG_NGDPPC,"Papua New Guinea GDP per Capita at Current Prices, LCU"
ODA/PNG_PPPGDP,"Papua New Guinea Country GDP based on PPP Valuation, USD Billions"
ODA/PNG_PPPPC,"Papua New Guinea Per Capita GDP based on PPP Valuation, USD"
ODA/PNG_PPPSH,"Papua New Guinea Share of World GDP based on PPP, %"
ODA/PNG_PPPEX,"Papua New Guinea Implied PPP Conversion Rate, LCU per USD"
ODA/PNG_NID_NGDP,"Papua New Guinea Total Investment, % of GDP"
ODA/PNG_NGDPD,"Papua New Guinea GDP at Current Prices, USD Billions"
ODA/PNG_NGSD_NGDP,"Papua New Guinea Gross National Savings, % of GDP"
ODA/PNG_NGDPRPC,"Papua New Guinea GDP per Capita at Constant Prices, LCU"
ODA/PNG_PCPIE,"Papua New Guinea Inflation Index, End of Period Consumer Prices"
ODA/PNG_PCPIEPCH,"Papua New Guinea Inflation % change, End of Period Consumer Prices"
ODA/PNG_NGDPDPC,"Papua New Guinea GDP per Capita at Current Prices, USD"
ODA/PNG_TMG_RPCH,"Papua New Guinea Imports of Goods, % change"
ODA/PNG_TXG_RPCH,"Papua New Guinea Exports of Goods, % change"
ODA/PNG_GGR,"Papua New Guinea General Government Revenue, USD Billions"
ODA/PNG_PCPI,"Papua New Guinea Inflation Index, Average Consumer Prices"
ODA/PNG_GGX,"Papua New Guinea General Government Total Expenditure, USD Billions"
ODA/PNG_PCPIPCH,"Papua New Guinea Inflation % change, Average Consumer Prices"
ODA/PNG_GGXCNL,"Papua New Guinea General Government Net Lending/Borrowing, USD Billions"
ODA/PNG_TM_RPCH,"Papua New Guinea Imports of Goods and services, % change"
ODA/PNG_GGXONLB,"Papua New Guinea General Government Primary Net Lending/Borrowing, USD Billions"
ODA/PNG_TX_RPCH,"Papua New Guinea Exports of Goods and services, % change"
ODA/PNG_LP,"Papua New Guinea Population, Millions"
ODA/PNG_BCA,"Papua New Guinea Current Account Balance, USD Billions"
ODA/PNG_GGR_NGDP,"Papua New Guinea General Government Revenue, % of GDP"
ODA/PRY_NGDP_R,"Paraguay GDP at Constant Prices, LCU Billions"
ODA/PNG_GGX_NGDP,"Papua New Guinea General Government Total Expenditure, % of GDP"
ODA/PRY_NGDP,"Paraguay GDP at Current Prices, LCU Billions"
ODA/PNG_GGXCNL_NGDP,"Papua New Guinea General Government Net Lending/Borrowing, % of GDP"
ODA/PRY_NGDP_D,Paraguay GDP Deflator
ODA/PNG_GGXONLB_NGDP,"Papua New Guinea General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PRY_NGDPPC,"Paraguay GDP per Capita at Current Prices, LCU"
ODA/PNG_NGDP_FY,"Papua New Guinea GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PRY_NGDPDPC,"Paraguay GDP per Capita at Current Prices, USD"
ODA/PNG_BCA_NGDPD,"Papua New Guinea Current Account Balance, % of GDP"
ODA/PRY_PPPPC,"Paraguay Per Capita GDP based on PPP Valuation, USD"
ODA/PRY_PPPEX,"Paraguay Implied PPP Conversion Rate, LCU per USD"
ODA/PRY_NGDP_RPCH,"Paraguay GDP at Constant Prices, % change"
ODA/PRY_NGDPD,"Paraguay GDP at Current Prices, USD Billions"
ODA/PRY_PCPI,"Paraguay Inflation Index, Average Consumer Prices"
ODA/PRY_PCPIE,"Paraguay Inflation Index, End of Period Consumer Prices"
ODA/PRY_NGDPRPC,"Paraguay GDP per Capita at Constant Prices, LCU"
ODA/PRY_TM_RPCH,"Paraguay Imports of Goods and services, % change"
ODA/PRY_PPPGDP,"Paraguay Country GDP based on PPP Valuation, USD Billions"
ODA/PRY_TX_RPCH,"Paraguay Exports of Goods and services, % change"
ODA/PRY_PPPSH,"Paraguay Share of World GDP based on PPP, %"
ODA/PRY_LUR,"Paraguay Unemployment Rate, % of Total Labor Force"
ODA/PRY_NID_NGDP,"Paraguay Total Investment, % of GDP"
ODA/PRY_NGSD_NGDP,"Paraguay Gross National Savings, % of GDP"
ODA/PRY_GGR,"Paraguay General Government Revenue, USD Billions"
ODA/PRY_PCPIPCH,"Paraguay Inflation % change, Average Consumer Prices"
ODA/PRY_PCPIEPCH,"Paraguay Inflation % change, End of Period Consumer Prices"
ODA/PRY_GGX_NGDP,"Paraguay General Government Total Expenditure, % of GDP"
ODA/PRY_TMG_RPCH,"Paraguay Imports of Goods, % change"
ODA/PRY_GGXCNL_NGDP,"Paraguay General Government Net Lending/Borrowing, % of GDP"
ODA/PRY_GGSB_NPGDP,"Paraguay General Government Structural Balance, % of GDP"
ODA/PRY_TXG_RPCH,"Paraguay Exports of Goods, % change"
ODA/PRY_GGXWDG_NGDP,"Paraguay General Government Gross Debt, % of GDP"
ODA/PRY_LP,"Paraguay Population, Millions"
ODA/PRY_BCA,"Paraguay Current Account Balance, USD Billions"
ODA/PRY_GGR_NGDP,"Paraguay General Government Revenue, % of GDP"
ODA/PRY_GGX,"Paraguay General Government Total Expenditure, USD Billions"
ODA/PER_NGDP_R,"Peru GDP at Constant Prices, LCU Billions"
ODA/PRY_GGXCNL,"Paraguay General Government Net Lending/Borrowing, USD Billions"
ODA/PER_NGDP,"Peru GDP at Current Prices, LCU Billions"
ODA/PRY_GGSB,"Paraguay General Government Structural Balance, USD Billions"
ODA/PER_NGDP_D,Peru GDP Deflator
ODA/PRY_GGXWDG,"Paraguay General Government Gross Debt, USD Billions"
ODA/PRY_NGDP_FY,"Paraguay GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PER_NGDPDPC,"Peru GDP per Capita at Current Prices, USD"
ODA/PRY_BCA_NGDPD,"Paraguay Current Account Balance, % of GDP"
ODA/PER_NGDP_RPCH,"Peru GDP at Constant Prices, % change"
ODA/PER_PPPEX,"Peru Implied PPP Conversion Rate, LCU per USD"
ODA/PER_NID_NGDP,"Peru Total Investment, % of GDP"
ODA/PER_NGDPD,"Peru GDP at Current Prices, USD Billions"
ODA/PER_PCPIPCH,"Peru Inflation % change, Average Consumer Prices"
ODA/PER_NGDPRPC,"Peru GDP per Capita at Constant Prices, LCU"
ODA/PER_PCPIE,"Peru Inflation Index, End of Period Consumer Prices"
ODA/PER_NGDPPC,"Peru GDP per Capita at Current Prices, LCU"
ODA/PER_PPPGDP,"Peru Country GDP based on PPP Valuation, USD Billions"
ODA/PER_PPPPC,"Peru Per Capita GDP based on PPP Valuation, USD"
ODA/PER_PPPSH,"Peru Share of World GDP based on PPP, %"
ODA/PER_TX_RPCH,"Peru Exports of Goods and services, % change"
ODA/PER_NGSD_NGDP,"Peru Gross National Savings, % of GDP"
ODA/PER_PCPI,"Peru Inflation Index, Average Consumer Prices"
ODA/PER_GGR,"Peru General Government Revenue, USD Billions"
ODA/PER_GGX,"Peru General Government Total Expenditure, USD Billions"
ODA/PER_PCPIEPCH,"Peru Inflation % change, End of Period Consumer Prices"
ODA/PER_TM_RPCH,"Peru Imports of Goods and services, % change"
ODA/PER_TMG_RPCH,"Peru Imports of Goods, % change"
ODA/PER_GGXCNL_NGDP,"Peru General Government Net Lending/Borrowing, % of GDP"
ODA/PER_GGSB_NPGDP,"Peru General Government Structural Balance, % of GDP"
ODA/PER_TXG_RPCH,"Peru Exports of Goods, % change"
ODA/PER_LUR,"Peru Unemployment Rate, % of Total Labor Force"
ODA/PER_LP,"Peru Population, Millions"
ODA/PER_GGXWDN,"Peru General Government Net Debt, USD Billions"
ODA/PER_GGR_NGDP,"Peru General Government Revenue, % of GDP"
ODA/PER_GGX_NGDP,"Peru General Government Total Expenditure, % of GDP"
ODA/PER_GGXCNL,"Peru General Government Net Lending/Borrowing, USD Billions"
ODA/PER_NGDP_FY,"Peru GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PER_BCA,"Peru Current Account Balance, USD Billions"
ODA/PER_GGSB,"Peru General Government Structural Balance, USD Billions"
ODA/PER_BCA_NGDPD,"Peru Current Account Balance, % of GDP"
ODA/PHL_NGDP_R,"Philippines GDP at Constant Prices, LCU Billions"
ODA/PER_GGXONLB,"Peru General Government Primary Net Lending/Borrowing, USD Billions"
ODA/PER_GGXONLB_NGDP,"Peru General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PER_GGXWDN_NGDP,"Peru General Government Net Debt, % of GDP"
ODA/PHL_NGDP_D,Philippines GDP Deflator
ODA/PER_GGXWDG,"Peru General Government Gross Debt, USD Billions"
ODA/PER_GGXWDG_NGDP,"Peru General Government Gross Debt, % of GDP"
ODA/PHL_NGDPPC,"Philippines GDP per Capita at Current Prices, LCU"
ODA/PHL_NGDPDPC,"Philippines GDP per Capita at Current Prices, USD"
ODA/PHL_PPPPC,"Philippines Per Capita GDP based on PPP Valuation, USD"
ODA/PHL_PPPEX,"Philippines Implied PPP Conversion Rate, LCU per USD"
ODA/PHL_NGDP_RPCH,"Philippines GDP at Constant Prices, % change"
ODA/PHL_NGDP,"Philippines GDP at Current Prices, LCU Billions"
ODA/PHL_NGSD_NGDP,"Philippines Gross National Savings, % of GDP"
ODA/PHL_NGDPD,"Philippines GDP at Current Prices, USD Billions"
ODA/PHL_NGDPRPC,"Philippines GDP per Capita at Constant Prices, LCU"
ODA/PHL_PCPIEPCH,"Philippines Inflation % change, End of Period Consumer Prices"
ODA/PHL_PPPGDP,"Philippines Country GDP based on PPP Valuation, USD Billions"
ODA/PHL_PPPSH,"Philippines Share of World GDP based on PPP, %"
ODA/PHL_TX_RPCH,"Philippines Exports of Goods and services, % change"
ODA/PHL_NID_NGDP,"Philippines Total Investment, % of GDP"
ODA/PHL_LUR,"Philippines Unemployment Rate, % of Total Labor Force"
ODA/PHL_LP,"Philippines Population, Millions"
ODA/PHL_PCPI,"Philippines Inflation Index, Average Consumer Prices"
ODA/PHL_PCPIPCH,"Philippines Inflation % change, Average Consumer Prices"
ODA/PHL_GGR_NGDP,"Philippines General Government Revenue, % of GDP"
ODA/PHL_PCPIE,"Philippines Inflation Index, End of Period Consumer Prices"
ODA/PHL_GGX_NGDP,"Philippines General Government Total Expenditure, % of GDP"
ODA/PHL_TM_RPCH,"Philippines Imports of Goods and services, % change"
ODA/PHL_GGXCNL_NGDP,"Philippines General Government Net Lending/Borrowing, % of GDP"
ODA/PHL_TMG_RPCH,"Philippines Imports of Goods, % change"
ODA/PHL_GGSB_NPGDP,"Philippines General Government Structural Balance, % of GDP"
ODA/PHL_TXG_RPCH,"Philippines Exports of Goods, % change"
ODA/PHL_GGXONLB_NGDP,"Philippines General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PHL_GGR,"Philippines General Government Revenue, USD Billions"
ODA/PHL_GGXWDG_NGDP,"Philippines General Government Gross Debt, % of GDP"
ODA/PHL_GGX,"Philippines General Government Total Expenditure, USD Billions"
ODA/PHL_BCA,"Philippines Current Account Balance, USD Billions"
ODA/PHL_GGXCNL,"Philippines General Government Net Lending/Borrowing, USD Billions"
ODA/PHL_GGSB,"Philippines General Government Structural Balance, USD Billions"
ODA/POL_NGDP,"Poland GDP at Current Prices, LCU Billions"
ODA/PHL_GGXONLB,"Philippines General Government Primary Net Lending/Borrowing, USD Billions"
ODA/POL_NGDP_D,Poland GDP Deflator
ODA/PHL_GGXWDG,"Philippines General Government Gross Debt, USD Billions"
ODA/POL_NGDPRPC,"Poland GDP per Capita at Constant Prices, LCU"
ODA/PHL_NGDP_FY,"Philippines GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/POL_NGDPDPC,"Poland GDP per Capita at Current Prices, USD"
ODA/PHL_BCA_NGDPD,"Philippines Current Account Balance, % of GDP"
ODA/POL_PPPPC,"Poland Per Capita GDP based on PPP Valuation, USD"
ODA/POL_NGDP_R,"Poland GDP at Constant Prices, LCU Billions"
ODA/POL_NGDP_RPCH,"Poland GDP at Constant Prices, % change"
ODA/POL_PPPEX,"Poland Implied PPP Conversion Rate, LCU per USD"
ODA/POL_NGSD_NGDP,"Poland Gross National Savings, % of GDP"
ODA/POL_NGDPD,"Poland GDP at Current Prices, USD Billions"
ODA/POL_PCPIPCH,"Poland Inflation % change, Average Consumer Prices"
ODA/POL_NGDPPC,"Poland GDP per Capita at Current Prices, LCU"
ODA/POL_TM_RPCH,"Poland Imports of Goods and services, % change"
ODA/POL_PPPGDP,"Poland Country GDP based on PPP Valuation, USD Billions"
ODA/POL_TX_RPCH,"Poland Exports of Goods and services, % change"
ODA/POL_PPPSH,"Poland Share of World GDP based on PPP, %"
ODA/POL_NID_NGDP,"Poland Total Investment, % of GDP"
ODA/POL_LUR,"Poland Unemployment Rate, % of Total Labor Force"
ODA/POL_PCPI,"Poland Inflation Index, Average Consumer Prices"
ODA/POL_GGR,"Poland General Government Revenue, USD Billions"
ODA/POL_PCPIE,"Poland Inflation Index, End of Period Consumer Prices"
ODA/POL_PCPIEPCH,"Poland Inflation % change, End of Period Consumer Prices"
ODA/POL_GGX_NGDP,"Poland General Government Total Expenditure, % of GDP"
ODA/POL_GGXCNL_NGDP,"Poland General Government Net Lending/Borrowing, % of GDP"
ODA/POL_TMG_RPCH,"Poland Imports of Goods, % change"
ODA/POL_GGSB_NPGDP,"Poland General Government Structural Balance, % of GDP"
ODA/POL_TXG_RPCH,"Poland Exports of Goods, % change"
ODA/POL_GGXONLB,"Poland General Government Primary Net Lending/Borrowing, USD Billions"
ODA/POL_LP,"Poland Population, Millions"
ODA/POL_GGXWDN,"Poland General Government Net Debt, USD Billions"
ODA/POL_GGR_NGDP,"Poland General Government Revenue, % of GDP"
ODA/POL_GGXWDG,"Poland General Government Gross Debt, USD Billions"
ODA/POL_GGX,"Poland General Government Total Expenditure, USD Billions"
ODA/POL_GGXCNL,"Poland General Government Net Lending/Borrowing, USD Billions"
ODA/POL_NGDP_FY,"Poland GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/POL_GGSB,"Poland General Government Structural Balance, USD Billions"
ODA/PRT_NGDP_R,"Portugal GDP at Constant Prices, LCU Billions"
ODA/POL_GGXONLB_NGDP,"Poland General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PRT_NGDP,"Portugal GDP at Current Prices, LCU Billions"
ODA/POL_GGXWDN_NGDP,"Poland General Government Net Debt, % of GDP"
ODA/PRT_NGDP_D,Portugal GDP Deflator
ODA/POL_GGXWDG_NGDP,"Poland General Government Gross Debt, % of GDP"
ODA/PRT_NGDPPC,"Portugal GDP per Capita at Current Prices, LCU"
ODA/POL_BCA,"Poland Current Account Balance, USD Billions"
ODA/POL_BCA_NGDPD,"Poland Current Account Balance, % of GDP"
ODA/PRT_PPPGDP,"Portugal Country GDP based on PPP Valuation, USD Billions"
ODA/PRT_PPPSH,"Portugal Share of World GDP based on PPP, %"
ODA/PRT_NGDP_RPCH,"Portugal GDP at Constant Prices, % change"
ODA/PRT_NID_NGDP,"Portugal Total Investment, % of GDP"
ODA/PRT_NGDPD,"Portugal GDP at Current Prices, USD Billions"
ODA/PRT_PCPI,"Portugal Inflation Index, Average Consumer Prices"
ODA/PRT_NGDPRPC,"Portugal GDP per Capita at Constant Prices, LCU"
ODA/PRT_PCPIE,"Portugal Inflation Index, End of Period Consumer Prices"
ODA/PRT_NGDPDPC,"Portugal GDP per Capita at Current Prices, USD"
ODA/PRT_TM_RPCH,"Portugal Imports of Goods and services, % change"
ODA/PRT_NGAP_NPGDP,"Portugal Output Gap, % of potential GDP"
ODA/PRT_PPPPC,"Portugal Per Capita GDP based on PPP Valuation, USD"
ODA/PRT_TXG_RPCH,"Portugal Exports of Goods, % change"
ODA/PRT_PPPEX,"Portugal Implied PPP Conversion Rate, LCU per USD"
ODA/PRT_LE,"Portugal Employment, Millions"
ODA/PRT_NGSD_NGDP,"Portugal Gross National Savings, % of GDP"
ODA/PRT_GGR,"Portugal General Government Revenue, USD Billions"
ODA/PRT_PCPIPCH,"Portugal Inflation % change, Average Consumer Prices"
ODA/PRT_PCPIEPCH,"Portugal Inflation % change, End of Period Consumer Prices"
ODA/PRT_GGX_NGDP,"Portugal General Government Total Expenditure, % of GDP"
ODA/PRT_TMG_RPCH,"Portugal Imports of Goods, % change"
ODA/PRT_TX_RPCH,"Portugal Exports of Goods and services, % change"
ODA/PRT_GGSB_NPGDP,"Portugal General Government Structural Balance, % of GDP"
ODA/PRT_LUR,"Portugal Unemployment Rate, % of Total Labor Force"
ODA/PRT_GGXONLB,"Portugal General Government Primary Net Lending/Borrowing, USD Billions"
ODA/PRT_LP,"Portugal Population, Millions"
ODA/PRT_GGXWDN_NGDP,"Portugal General Government Net Debt, % of GDP"
ODA/PRT_GGR_NGDP,"Portugal General Government Revenue, % of GDP"
ODA/PRT_GGX,"Portugal General Government Total Expenditure, USD Billions"
ODA/PRT_NGDP_FY,"Portugal GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/PRT_GGXCNL,"Portugal General Government Net Lending/Borrowing, USD Billions"
ODA/PRT_GGXCNL_NGDP,"Portugal General Government Net Lending/Borrowing, % of GDP"
ODA/PRT_BCA_NGDPD,"Portugal Current Account Balance, % of GDP"
ODA/PRT_GGSB,"Portugal General Government Structural Balance, USD Billions"
ODA/QAT_NGDP_RPCH,"Qatar GDP at Constant Prices, % change"
ODA/QAT_NGDP,"Qatar GDP at Current Prices, LCU Billions"
ODA/PRT_GGXONLB_NGDP,"Portugal General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/PRT_GGXWDN,"Portugal General Government Net Debt, USD Billions"
ODA/QAT_NGDP_D,Qatar GDP Deflator
ODA/PRT_GGXWDG,"Portugal General Government Gross Debt, USD Billions"
ODA/PRT_GGXWDG_NGDP,"Portugal General Government Gross Debt, % of GDP"
ODA/QAT_NGDPPC,"Qatar GDP per Capita at Current Prices, LCU"
ODA/PRT_BCA,"Portugal Current Account Balance, USD Billions"
ODA/QAT_PPPGDP,"Qatar Country GDP based on PPP Valuation, USD Billions"
ODA/QAT_NGDP_R,"Qatar GDP at Constant Prices, LCU Billions"
ODA/QAT_PPPSH,"Qatar Share of World GDP based on PPP, %"
ODA/QAT_NID_NGDP,"Qatar Total Investment, % of GDP"
ODA/QAT_NGSD_NGDP,"Qatar Gross National Savings, % of GDP"
ODA/QAT_NGDPD,"Qatar GDP at Current Prices, USD Billions"
ODA/QAT_PCPIPCH,"Qatar Inflation % change, Average Consumer Prices"
ODA/QAT_NGDPRPC,"Qatar GDP per Capita at Constant Prices, LCU"
ODA/QAT_NGDPDPC,"Qatar GDP per Capita at Current Prices, USD"
ODA/QAT_PPPPC,"Qatar Per Capita GDP based on PPP Valuation, USD"
ODA/QAT_TMG_RPCH,"Qatar Imports of Goods, % change"
ODA/QAT_TX_RPCH,"Qatar Exports of Goods and services, % change"
ODA/QAT_PPPEX,"Qatar Implied PPP Conversion Rate, LCU per USD"
ODA/QAT_LP,"Qatar Population, Millions"
ODA/QAT_PCPI,"Qatar Inflation Index, Average Consumer Prices"
ODA/QAT_GGR_NGDP,"Qatar General Government Revenue, % of GDP"
ODA/QAT_PCPIE,"Qatar Inflation Index, End of Period Consumer Prices"
ODA/QAT_GGX_NGDP,"Qatar General Government Total Expenditure, % of GDP"
ODA/QAT_PCPIEPCH,"Qatar Inflation % change, End of Period Consumer Prices"
ODA/QAT_TM_RPCH,"Qatar Imports of Goods and services, % change"
ODA/QAT_GGXONLB,"Qatar General Government Primary Net Lending/Borrowing, USD Billions"
ODA/QAT_GGXONLB_NGDP,"Qatar General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/QAT_TXG_RPCH,"Qatar Exports of Goods, % change"
ODA/QAT_GGXWDN_NGDP,"Qatar General Government Net Debt, % of GDP"
ODA/QAT_GGR,"Qatar General Government Revenue, USD Billions"
ODA/QAT_GGXWDG_NGDP,"Qatar General Government Gross Debt, % of GDP"
ODA/QAT_GGX,"Qatar General Government Total Expenditure, USD Billions"
ODA/QAT_BCA,"Qatar Current Account Balance, USD Billions"
ODA/QAT_GGXCNL,"Qatar General Government Net Lending/Borrowing, USD Billions"
ODA/QAT_GGXCNL_NGDP,"Qatar General Government Net Lending/Borrowing, % of GDP"
ODA/ROU_NGDP_RPCH,"Romania GDP at Constant Prices, % change"
ODA/QAT_GGXWDN,"Qatar General Government Net Debt, USD Billions"
ODA/ROU_NGDPD,"Romania GDP at Current Prices, USD Billions"
ODA/QAT_GGXWDG,"Qatar General Government Gross Debt, USD Billions"
ODA/ROU_NGDPPC,"Romania GDP per Capita at Current Prices, LCU"
ODA/QAT_NGDP_FY,"Qatar GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ROU_PPPGDP,"Romania Country GDP based on PPP Valuation, USD Billions"
